bad,excellent,moderate
0.28145761908529954,0.0694914764949311,0.6490509044197693
0.5820108563398343,0.006602042124253956,0.41138710153591174
0.9987026724296669,9.290740635683953e-09,0.0012973182795925741
0.0750355238881627,0.3842703493434309,0.5406941267684064
0.19365940229751621,0.14507650130656602,0.6612640963959178
0.019532513724548638,0.5976826755764124,0.382784810699039
0.04213368633946719,0.4824102451842138,0.4754560684763191
0.8940578743916477,0.000694025070382506,0.10524810053796976
0.6444724084297719,0.00608610479042443,0.3494414867798036
0.016631397799890184,0.676802681321847,0.30656592087826295
0.4126836973495869,0.027003972353634418,0.5603123302967786
0.8024944877949305,0.0007386514746594558,0.1967668607304101
0.048812708652539616,0.37815821191667465,0.5730290794307857
0.24195788018002914,0.10897822922817442,0.6490638905917965
0.037125910874814386,0.5271918072621536,0.435682281863032
0.9563153885697334,2.019029019750105e-05,0.04366442114006897
0.17099235281024447,0.14533344469377335,0.6836742024959821
0.6430686410399233,0.008000223037021371,0.3489311359230553
0.14857056516966496,0.2565920740901291,0.594837360740206
0.8210062993202677,0.0006324287196808688,0.17836127196005136
0.27424019318857723,0.07649904759873699,0.6492607592126857
0.9966404555185262,1.0856045029270145e-07,0.003359435921023397
0.8421835949185469,0.000752566419172192,0.15706383866228085
0.9217013842932317,3.9538977772638436e-05,0.07825907672899561
0.17213846864307733,0.14618891363656972,0.6816726177203529
0.09464762608298635,0.2588126053840546,0.6465397685329591
0.21496246832286,0.07417629563479423,0.7108612360423456
0.29131139430674624,0.05388907734879144,0.6547995283444623
0.2050531887601214,0.08453164670845961,0.7104151645314191
0.07459021055065994,0.40149047411970407,0.523919315329636
0.052341523148542894,0.39817912247922715,0.5494793543722299
0.194905366070855,0.11976639264958763,0.6853282412795573
0.9044895843120367,8.938325814597006e-05,0.09542103242981728
0.1701871617042903,0.08298372664962955,0.7468291116460801
0.9999999350723232,4.0219513187747945e-19,6.49276767788377e-08
0.999501774576626,5.006984620299708e-10,0.0004982249226755987
0.04251955205659465,0.48789820258837374,0.4695822453550316
0.12185647334014331,0.2739508231439329,0.6041927035159238
0.27397086844169694,0.09956870490396151,0.6264604266543415
0.16995019741904305,0.18996359827072418,0.6400862043102328
0.41058712618642523,0.03372552515697637,0.5556873486565984
0.6943651151802765,0.006218741212837449,0.29941614360688606
0.048648063350632556,0.4574870707761185,0.4938648658732489
0.6128496017538212,0.006691014336051277,0.38045938391012757
0.03482172994791032,0.5296536259370231,0.4355246441150665
0.9997941100543135,7.290253973837384e-11,0.0002058898727840979
0.07189139144735648,0.41535431424642,0.5127542943062234
0.8674250158686848,0.0002971242518703763,0.13227785987944476
